;Filters;Baseline value;Predicted ROC-AUC;Ratio [%]
661;"GSKFilter;ZINCBasicFilter";94.5433;-5.1364;94.5671
597;"GhoseFilter;LINTFilter";94.5433;-5.1364;94.5671
509;"BMSFilter;TiceInsecticidesFilter";94.5433;-5.2788;94.4166
722;"LINTFilter;TiceInsecticidesFilter";94.5433;-5.3381;94.3538
776;"MolecularWeightFilter;TiceInsecticidesFilter";94.5433;-5.3499;94.3413
535;"BrenkFilter;SureChEMBLFilter";94.5433;-5.4804;94.2033
702;"InpharmaticaFilter;TiceInsecticidesFilter";94.5433;-5.5042;94.1782
617;"GlaxoFilter;GSKFilter";94.5433;-5.5397;94.1405
647;"GSKFilter;NIBRFilter";94.5433;-5.6228;94.0527
480;"BeyondRo5Filter;TiceInsecticidesFilter";94.5433;-5.7177;93.9523
746;"MLSMRFilter;NIBRFilter";94.5433;-5.7888;93.877
747;"MLSMRFilter;NIHFilter";94.5433;-5.8007;93.8645
629;"GlaxoFilter;REOSFilter";94.5433;-5.9668;93.6888
721;"LINTFilter;TiceHerbicidesFilter";94.5433;-6.1329;93.5132
726;"LipinskiFilter;MLSMRFilter";94.5433;-6.2278;93.4128
749;"MLSMRFilter;PAINSFilter";94.5433;-6.3464;93.2873
777;"MolecularWeightFilter;ValenceDiscoveryFilter";94.5433;-6.382;93.2497
740;"LipinskiFilter;TiceHerbicidesFilter";94.5433;-6.6548;92.9611
494;"BMSFilter;MLSMRFilter";94.5433;-6.6785;92.936
767;"MolecularWeightFilter;PfizerFilter";94.5433;-6.7497;92.8607
668;"HaoFilter;NIBRFilter";94.5433;-6.7497;92.8607
479;"BeyondRo5Filter;TiceHerbicidesFilter";94.5433;-6.7616;92.8482
775;"MolecularWeightFilter;TiceHerbicidesFilter";94.5433;-6.987;92.6098
638;"GlaxoFilter;ValenceDiscoveryFilter";94.5433;-7.07;92.522
742;"LipinskiFilter;ValenceDiscoveryFilter";94.5433;-7.2716;92.3087
694;"InpharmaticaFilter;REOSFilter";94.5433;-7.3547;92.2208
751;"MLSMRFilter;REOSFilter";94.5433;-7.4259;92.1455
761;"MLSMRFilter;ZINCBasicFilter";94.5433;-7.6157;91.9448
